get user_banner,1200,1,2,3,3,4,1,7,"100,000%","79,45967","13,35","13,19"
post banner,1200,4,4,5,6,12,2,26,"0,167%","79,42286","11,31","29,91"
TOTAL,2400,3,3,5,5,10,1,26,"50,083%","158,68818","24,62","43,06"
